stop_id,stop_name,route_count
50004,Fahrettin Altay Meydan 9,31
10240,Kız Yurdu,31
50008,Beyaz,24
10231,Kestelli,24
20057,Turan,24
20060,Turan,24
20151,Karşıyaka İskele,23
12874,Halkapınar Tramvay,22
50011,Balçova İstasyon,21
20157,Dokuz Eylül Dispanser,21
50020,Dokuz Eylül Hastanesi İstasyon,21
20159,Karşıyaka Yelken Kulübü,21
20153,Osman Bey Parkı,21
20154,Osman Bey Parkı,21
20155,Tarık Dursun Kakınç,21
20161,Yunuslar,21
20081,Çiğli İtfaiye,21
40010,Şirinyer PTT,21
50010,Balçova İstasyon,20
20083,Eğitim Gönüllüleri,20
20084,Eğitim Gönüllüleri,20
12058,Eşrefpaşa,20
20483,Girne Konutları,20
50018,Hoca,20
50019,Hoca,20
11551,Kazım Dirik,20
11552,Kazım Dirik,20
50012,Molla Kuyusu,20
50013,Molla Kuyusu,20
10865,Otel,20
10868,Otel,20
11557,Torbalı Belediyesi 2,20
10870,Yemişlik,20
10903,Yemişlik,20
11553,Çarşı,20
11554,Çarşı,20
50017,Çağdaş İstasyon,20
20082,Çiğli İtfaiye,20
10867,Şehit Uzman Çavuş Mehmet Onur Özbent,20
10872,Şehit Uzman Çavuş Mehmet Onur Özbent,20
40009,Şirinyer Pazar Yeri,20
40198,Şirinyer Saha,20
20096,Balatçık Kahveler,19
50021,Dokuz Eylül Hastanesi İstasyon,19
11506,Tepeköy Aktarma,19
11510,Tepeköy Aktarma,19
11531,Tepeköy İstasyon Yolu,19
11564,Torbalı Belediyesi,19
50016,Çağdaş İstasyon,19
20085,Çiğli Belediye,19
20086,Çiğli Belediye,19
50014,İş Bankası Evleri,19
50015,İş Bankası Evleri,19
40153,Şirinyer İstasyonu,19
50030,Balcı,18
20055,Bayraklı Çamlık,18
20134,Bayraklı Üst Geçit,18
20191,Beşikçioğlu Cami,18
20196,Beşikçioğlu Cami,18
20197,Bostanlı Market,18
20198,Bostanlı Market,18
20189,Bostanlı Pazaryeri,18
20194,Bostanlı Pazaryeri,18
50022,Dokuz Eylül,18
50023,Dokuz Eylül,18
10363,Eşref Paşa Hastanesi,18
20205,Geçit 1,18
20206,Geçit 1,18
20203,Geçit 2,18
20204,Geçit 2,18
20207,Girne Bulvarı,18
20208,Girne Bulvarı,18
50027,Güzel Sanatlar Fakültesi,18
30281,Halide Edip Adıvar,18
50024,Kantar,18
50025,Kantar,18
10235,Koruluk,18
20339,Mavişehir,18
20201,Metin Aşıkoğlu Ortaokulu,18
20202,Metin Aşıkoğlu Ortaokulu,18
40127,Mühendislik Fakültesi,18
40128,Mühendislik Fakültesi,18
11504,Torbalı Anadolu İmam Hatip Lisesi,18
11507,Torbalı Anadolu İmam Hatip Lisesi,18
10365,Ziya Gökalp Ortaokulu,18
30131,Çamdibi Sağlık Ocağı,18
50026,İzsu,18
20199,Şehit Diplomat Erdoğan Özen,18
20200,Şehit Diplomat Erdoğan Özen,18
30279,Adliye,17
10103,Belediye Sarayı,17
40015,Buca Belediye Sarayı,17
40016,Buca Belediye Sarayı,17
40737,Buca Sağlık Ocağı,17
40738,Buca Sağlık Ocağı,17
