stop_id,stop_name,route_count,transfer_rank
50004,Fahrettin Altay Meydan 9,31,1
10240,Kız Yurdu,31,1
50008,Beyaz,24,2
10231,Kestelli,24,2
20057,Turan,24,2
20060,Turan,24,2
20151,Karşıyaka İskele,23,3
12874,Halkapınar Tramvay,22,4
50011,Balçova İstasyon,21,5
20157,Dokuz Eylül Dispanser,21,5
50020,Dokuz Eylül Hastanesi İstasyon,21,5
20159,Karşıyaka Yelken Kulübü,21,5
20153,Osman Bey Parkı,21,5
20154,Osman Bey Parkı,21,5
20155,Tarık Dursun Kakınç,21,5
20161,Yunuslar,21,5
20081,Çiğli İtfaiye,21,5
40010,Şirinyer PTT,21,5
50010,Balçova İstasyon,20,6
20083,Eğitim Gönüllüleri,20,6
20084,Eğitim Gönüllüleri,20,6
12058,Eşrefpaşa,20,6
20483,Girne Konutları,20,6
50018,Hoca,20,6
50019,Hoca,20,6
11551,Kazım Dirik,20,6
11552,Kazım Dirik,20,6
50012,Molla Kuyusu,20,6
50013,Molla Kuyusu,20,6
10865,Otel,20,6
10868,Otel,20,6
11557,Torbalı Belediyesi 2,20,6
10870,Yemişlik,20,6
10903,Yemişlik,20,6
11553,Çarşı,20,6
11554,Çarşı,20,6
50017,Çağdaş İstasyon,20,6
20082,Çiğli İtfaiye,20,6
10867,Şehit Uzman Çavuş Mehmet Onur Özbent,20,6
10872,Şehit Uzman Çavuş Mehmet Onur Özbent,20,6
40009,Şirinyer Pazar Yeri,20,6
40198,Şirinyer Saha,20,6
20096,Balatçık Kahveler,19,7
50021,Dokuz Eylül Hastanesi İstasyon,19,7
11506,Tepeköy Aktarma,19,7
11510,Tepeköy Aktarma,19,7
11531,Tepeköy İstasyon Yolu,19,7
11564,Torbalı Belediyesi,19,7
50016,Çağdaş İstasyon,19,7
20085,Çiğli Belediye,19,7
20086,Çiğli Belediye,19,7
50014,İş Bankası Evleri,19,7
50015,İş Bankası Evleri,19,7
40153,Şirinyer İstasyonu,19,7
50030,Balcı,18,8
20055,Bayraklı Çamlık,18,8
20134,Bayraklı Üst Geçit,18,8
20191,Beşikçioğlu Cami,18,8
20196,Beşikçioğlu Cami,18,8
20197,Bostanlı Market,18,8
20198,Bostanlı Market,18,8
20189,Bostanlı Pazaryeri,18,8
20194,Bostanlı Pazaryeri,18,8
50022,Dokuz Eylül,18,8
50023,Dokuz Eylül,18,8
10363,Eşref Paşa Hastanesi,18,8
20205,Geçit 1,18,8
20206,Geçit 1,18,8
20203,Geçit 2,18,8
20204,Geçit 2,18,8
20207,Girne Bulvarı,18,8
20208,Girne Bulvarı,18,8
50027,Güzel Sanatlar Fakültesi,18,8
30281,Halide Edip Adıvar,18,8
50024,Kantar,18,8
50025,Kantar,18,8
10235,Koruluk,18,8
20339,Mavişehir,18,8
20201,Metin Aşıkoğlu Ortaokulu,18,8
20202,Metin Aşıkoğlu Ortaokulu,18,8
40127,Mühendislik Fakültesi,18,8
40128,Mühendislik Fakültesi,18,8
11504,Torbalı Anadolu İmam Hatip Lisesi,18,8
11507,Torbalı Anadolu İmam Hatip Lisesi,18,8
10365,Ziya Gökalp Ortaokulu,18,8
30131,Çamdibi Sağlık Ocağı,18,8
50026,İzsu,18,8
20199,Şehit Diplomat Erdoğan Özen,18,8
20200,Şehit Diplomat Erdoğan Özen,18,8
30279,Adliye,17,9
10103,Belediye Sarayı,17,9
40015,Buca Belediye Sarayı,17,9
40016,Buca Belediye Sarayı,17,9
40737,Buca Sağlık Ocağı,17,9
40738,Buca Sağlık Ocağı,17,9
40013,Buca Vergi Dairesi,17,9
40014,Buca Vergi Dairesi,17,9
10660,Ege Serbest Bölge,17,9
30282,Halide Edip Adıvar,17,9
20062,Naldöken,17,9
31280,Rektörlük,17,9
10366,Tepecik Doğum Hastanesi,17,9
10367,Tepecik Doğum Hastanesi,17,9
11532,Tepeköy İstasyon Yolu,17,9
40011,Yeni Mahalle,17,9
40012,Yeni Mahalle,17,9
10368,Yenişehir PTT,17,9
10369,Yenişehir PTT,17,9
20211,Zafer Takı,17,9
20214,Zafer Takı,17,9
10364,Ziya Gökalp Ortaokulu,17,9
20209,Çayırcı,17,9
20212,Çayırcı,17,9
11590,Özensu,17,9
11591,Özensu,17,9
10252,Üçyol Metro,17,9
11558,Şehit Uzman Onbaşı Mustafa Eser,17,9
11559,Şehit Uzman Onbaşı Mustafa Eser,17,9
30280,Adliye,16,10
10251,Altıntaş,16,10
50029,Balcı,16,10
10247,Bayramyeri,16,10
30137,Bölge İdare Mahkemesi,16,10
10661,Ege Serbest Bölge,16,10
11602,Engelsiz Yaşam Parkı,16,10
11603,Engelsiz Yaşam Parkı,16,10
14300,Eylül,16,10
14301,Eylül,16,10
11594,Fulya,16,10
11595,Fulya,16,10
10177,Hava Hastanesi,16,10
20340,Karya,16,10
20341,Karya,16,10
50037,Köprübaşı,16,10
50038,Köprübaşı,16,10
10662,Leylak,16,10
10663,Leylak,16,10
30133,Mersinli,16,10
50033,Narlıdere Cami,16,10
50034,Narlıdere Cami,16,10
50031,Narlıdere İtfaiye,16,10
50032,Narlıdere İtfaiye,16,10
50039,Siteler,16,10
50040,Siteler,16,10
30135,Stadyum İstasyon,16,10
11596,Torbalı Anadolu Lisesi,16,10
11597,Torbalı Anadolu Lisesi,16,10
11600,Torbalı Diyaliz Merkezi,16,10
11601,Torbalı Diyaliz Merkezi,16,10
11578,Torbalı Tıp Merkezi,16,10
11579,Torbalı Tıp Merkezi,16,10
41336,Tınaztepe Yerleşke Son Durak,16,10
10664,Ulaştırma,16,10
10665,Ulaştırma,16,10
50035,Uludağ,16,10
50036,Uludağ,16,10
30139,Üçüncü Sanayi,16,10
30140,Üçüncü Sanayi,16,10
50041,Şehitlik,16,10
50042,Şehitlik,16,10
10199,Adnan Saygun Sanat Merkezi,15,11
31289,Ata,15,11
32243,Ağır Bakım,15,11
32244,Ağır Bakım,15,11
40739,Buca Üçkuyular Meydan,15,11
10370,Halkapınar İZSU,15,11
10371,Halkapınar İZSU,15,11
20337,Haydar Aliyev Parkı,15,11
12068,Konak Anadolu Lisesi,15,11
10241,Kız Yurdu,15,11
20338,Mavişehir,15,11
22370,Menemen Garaj Karşısı,15,11
22371,Menemen Garaj Karşısı,15,11
22364,Menemen Toplum Sağlığı Merkezi,15,11
22365,Menemen Toplum Sağlığı Merkezi,15,11
22390,Menemen Şehir Parkı,15,11
22391,Menemen Şehir Parkı,15,11
20059,Naldöken,15,11
20063,Soğukkuyu Trafik,15,11
20066,Soğukkuyu Trafik,15,11
50605,Urla,15,11
12064,Yağhaneler 2,15,11
20061,Öztürk,15,11
20064,Öztürk,15,11
10178,Adnan Saygun Sanat Merkezi,14,12
10656,Aktepe,14,12
10657,Aktepe,14,12
10248,Altıntaş,14,12
20395,Atakent Anadolu Lisesi,14,12
20396,Atakent Anadolu Lisesi,14,12
30283,Bayraklı Depo,14,12
30284,Bayraklı Depo,14,12
10246,Bayramyeri,14,12
10655,Emrez,14,12
20097,Eski Sinema,14,12
20098,Eski Sinema,14,12
12057,Eşrefpaşa,14,12
50007,Fahrettin Altay Meydan 2,14,12
10653,Gaziemir Semt Garajı,14,12
20482,Girne Konutları,14,12
20336,Haydar Aliyev Parkı,14,12
21343,Jandarma,14,12
21344,Jandarma,14,12
12069,Konak Anadolu Lisesi,14,12
40891,Kütüphane,14,12
40892,Kütüphane,14,12
30285,Manas,14,12
30286,Manas,14,12
10611,Osman Öksüz Parkı,14,12
30289,Smyrna,14,12
30290,Smyrna,14,12
40889,Spor Salonu,14,12
40890,Spor Salonu,14,12
40894,Tınaztepe Yerleşke Son Durak,14,12
12065,Yağhaneler 2,14,12
11616,Çaybaşı Son Durak,14,12
10102,İskele,14,12
12070,Şelale Parkı,14,12
12071,Şelale Parkı,14,12
12066,Arap Cami,13,13
20095,Balatçık Kahveler,13,13
10356,Basmane Gar,13,13
